MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1001062040254,16.24,0.07,173.92121,-0.78923,53464.26806,0
1001062040254,16.17,0.07,173.92116,-0.78922,53464.27614,0
1001062040254,16.14,0.07,173.92120,-0.78919,53464.28422,0
1001062040254,16.19,0.07,173.92121,-0.78922,53464.29226,0
1001062040254,16.17,0.07,173.92115,-0.78922,53706.50506,0
1001062040254,16.17,0.07,173.92121,-0.78925,53706.50996,0
1001062040254,16.23,0.07,173.92118,-0.78924,53706.51489,0
1001062040254,16.31,0.09,173.92117,-0.78920,53706.51984,0
1001062040254,16.13,0.07,173.92118,-0.78926,53731.44709,0
1001062040254,16.19,0.07,173.92121,-0.78919,53731.45258,0
1001062040254,16.19,0.07,173.92118,-0.78921,53530.15565,0
1001062040254,16.20,0.07,173.92116,-0.78917,53530.16152,0
1001062040254,16.24,0.07,173.92127,-0.78920,53530.16741,0
1001062040254,16.27,0.07,173.92123,-0.78919,53530.17333,0
1001062040254,16.13,0.07,173.92119,-0.78921,53494.24026,0
1001062040254,16.20,0.07,173.92116,-0.78917,53494.24970,0
1001062040254,16.23,0.07,173.92124,-0.78917,53494.25777,0
1001062040254,16.31,0.07,173.92121,-0.78916,53494.26580,0
1001062040254,16.28,0.07,173.92113,-0.78916,53845.27076,0
1001062040254,16.24,0.07,173.92119,-0.78917,53845.27829,0
1001062040254,16.32,0.07,173.92123,-0.78920,53845.28580,0
1001062040254,16.26,0.07,173.92121,-0.78923,53845.29334,0
1001062040254,16.17,0.07,173.92113,-0.78919,54070.49431,0
1001062040254,16.24,0.07,173.92117,-0.78917,54070.50079,0
1001062040254,16.25,0.07,173.92117,-0.78922,54070.50733,0
1001062040254,16.25,0.07,173.92113,-0.78922,54070.51390,0
1001062040254,16.12,0.07,173.92115,-0.78925,54095.43771,0
1001062040254,16.25,0.07,173.92120,-0.78923,54095.44964,0
1001062040254,16.26,0.07,173.92118,-0.78919,54095.46157,0
1001062040254,16.25,0.07,173.92120,-0.78924,54095.47344,0
1001062040254,16.20,0.07,173.92119,-0.78923,53772.40662,0
1001062040254,16.15,0.07,173.92116,-0.78923,53772.41627,0
1001062040254,16.20,0.07,173.92121,-0.78924,53772.42595,0
1001062040254,16.22,0.07,173.92121,-0.78922,53772.43560,0
1001062040254,16.20,0.07,173.92117,-0.78929,53773.42063,0
1001062040254,16.12,0.07,173.92124,-0.78923,53773.42611,0
1001062040254,16.14,0.07,173.92120,-0.78923,53773.43159,0
1001062040254,16.15,0.07,173.92119,-0.78928,53773.43709,0
1001062040254,16.30,0.07,173.92115,-0.78916,53741.49460,0
1001062040254,16.25,0.07,173.92123,-0.78921,53741.50099,0
1001062040254,16.25,0.07,173.92122,-0.78921,53741.50735,0
1001062040254,16.11,0.07,173.92122,-0.78923,53741.51375,0
1001062040254,16.25,0.10,173.92121,-0.78928,53764.47247,0
1001062040254,16.28,0.10,173.92117,-0.78923,53764.47549,0
1001062040254,16.29,0.10,173.92117,-0.78920,53764.47850,0
1001062040254,16.29,0.10,173.92118,-0.78917,53764.48150,0
1001062040254,16.12,0.13,173.92125,-0.78898,53903.20127,0
1001062040254,16.15,0.13,173.92116,-0.78920,53903.20227,0
1001062040254,16.12,0.13,173.92121,-0.78910,53903.20332,0
1001062040254,15.97,0.12,173.92129,-0.78921,53903.20435,0
1001062040254,16.20,0.07,173.92119,-0.78919,53875.21568,0
1001062040254,16.24,0.07,173.92123,-0.78925,53875.22112,0
1001062040254,16.26,0.07,173.92123,-0.78923,53875.22657,0
1001062040254,16.26,0.07,173.92117,-0.78921,53875.23200,0
1001062040254,16.27,0.07,173.92121,-0.78923,53881.19261,0
1001062040254,16.24,0.07,173.92126,-0.78922,53881.20240,0
1001062040254,16.15,0.07,173.92122,-0.78924,53881.21219,0
1001062040254,16.08,0.07,173.92123,-0.78923,53881.22200,0
1001062040254,16.16,0.08,173.92124,-0.78928,54055.53195,0
1001062040254,16.18,0.08,173.92112,-0.78923,54055.53333,0
1001062040254,16.11,0.08,173.92113,-0.78920,54055.53471,0
1001062040254,16.27,0.07,173.92113,-0.78920,54063.49921,0
1001062040254,16.21,0.07,173.92122,-0.78920,54063.50572,0
1001062040254,16.17,0.07,173.92121,-0.78920,54063.51225,0
1001062040254,16.11,0.07,173.92122,-0.78921,54063.51878,0
1001062040254,16.13,0.07,173.92117,-0.78920,54439.47517,0
1001062040254,16.21,0.07,173.92118,-0.78916,54439.48177,0
1001062040254,16.23,0.07,173.92120,-0.78919,54439.48835,0
1001062040254,16.24,0.07,173.92122,-0.78920,54439.49516,0
1001062040254,16.27,0.07,173.92120,-0.78919,54453.43474,0
1001062040254,16.29,0.07,173.92120,-0.78919,54453.44141,0
1001062040254,16.31,0.07,173.92118,-0.78916,54453.44797,0
1001062040254,16.22,0.07,173.92123,-0.78922,54453.45457,0
1001062040254,16.13,0.12,173.92130,-0.78904,54140.44888,0
1001062040254,16.24,0.13,173.92123,-0.78919,54140.44987,0
1001062040254,16.21,0.12,173.92126,-0.78921,54140.45088,0
1001062040254,16.12,0.13,173.92120,-0.78918,54140.45187,0
1001062040254,16.18,0.07,173.92119,-0.78918,54127.33434,0
1001062040254,16.11,0.07,173.92116,-0.78923,54127.34303,0
1001062040254,16.14,0.07,173.92126,-0.78922,54127.35166,0
1001062040254,16.17,0.07,173.92117,-0.78922,54127.36030,0
1001062040254,16.11,0.07,173.92121,-0.78925,54170.27944,0
1001062040254,16.16,0.07,173.92122,-0.78922,54170.28480,0
1001062040254,16.16,0.07,173.92121,-0.78923,54170.29017,0
1001062040254,16.21,0.07,173.92118,-0.78922,54170.29553,0
1001062040254,16.17,0.07,173.92113,-0.78926,54232.22560,0
1001062040254,16.27,0.07,173.92119,-0.78910,54232.23832,0
1001062040254,16.25,0.07,173.92118,-0.78921,54232.24712,0
1001062040254,16.22,0.07,173.92114,-0.78922,54232.25416,0
1001062040254,16.23,0.09,173.92123,-0.78921,54425.51114,0
