MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1004071049963,17.17,0.09,198.01884,-3.33555,53708.52551,0
1004071049963,17.25,0.09,198.01890,-3.33564,53708.52941,0
1004071049963,17.21,0.09,198.01895,-3.33563,53708.53340,0
1004071049963,16.94,0.08,198.01892,-3.33564,53708.53730,0
1004071049963,17.33,0.09,198.01894,-3.33564,53732.49649,0
1004071049963,17.37,0.09,198.01895,-3.33565,53732.50512,0
1004071049963,17.14,0.09,198.01888,-3.33569,53732.51386,0
1004071049963,16.71,0.08,198.01899,-3.33563,53732.52253,0
1004071049963,17.12,0.09,198.01885,-3.33555,53553.19416,0
1004071049963,17.14,0.09,198.01893,-3.33554,53553.20062,0
1004071049963,17.16,0.09,198.01892,-3.33553,53553.20708,0
1004071049963,17.35,0.10,198.01892,-3.33554,53553.21357,0
1004071049963,17.11,0.09,198.01892,-3.33571,53524.22560,0
1004071049963,17.03,0.08,198.01875,-3.33576,53524.23392,0
1004071049963,17.11,0.09,198.01906,-3.33570,53524.24225,0
1004071049963,17.22,0.09,198.01877,-3.33558,53524.25054,0
1004071049963,17.23,0.09,198.01887,-3.33579,53498.21723,0
1004071049963,17.31,0.09,198.01892,-3.33560,53498.22365,0
1004071049963,17.26,0.09,198.01895,-3.33576,53498.23005,0
1004071049963,17.18,0.09,198.01898,-3.33571,53498.23648,0
1004071049963,17.18,0.09,198.01900,-3.33560,53832.32272,0
1004071049963,17.19,0.09,198.01885,-3.33565,53832.33034,0
1004071049963,17.20,0.09,198.01897,-3.33564,53832.33803,0
1004071049963,17.06,0.09,198.01905,-3.33556,53832.34568,0
1004071049963,17.26,0.09,198.01896,-3.33564,53845.32472,0
1004071049963,16.77,0.08,198.01896,-3.33566,53845.33174,0
1004071049963,16.86,0.08,198.01890,-3.33567,53845.33876,0
1004071049963,17.07,0.09,198.01891,-3.33566,53845.34576,0
1004071049963,17.15,0.08,198.01893,-3.33561,54093.51285,0
1004071049963,17.23,0.09,198.01887,-3.33568,54093.51725,0
1004071049963,17.27,0.09,198.01905,-3.33558,54093.52165,0
1004071049963,17.26,0.09,198.01894,-3.33565,54093.52608,0
1004071049963,16.83,0.08,198.01929,-3.33601,53773.47460,0
1004071049963,17.23,0.09,198.01912,-3.33557,53773.48110,0
1004071049963,17.20,0.09,198.01900,-3.33550,53773.48763,0
1004071049963,17.23,0.09,198.01891,-3.33556,53773.49419,0
1004071049963,17.33,0.09,198.01892,-3.33555,53786.48026,0
1004071049963,17.32,0.09,198.01887,-3.33571,53786.48519,0
1004071049963,17.10,0.08,198.01902,-3.33571,53786.49014,0
1004071049963,16.84,0.08,198.01892,-3.33566,53786.49514,0
1004071049963,17.34,0.09,198.01898,-3.33564,53743.48708,0
1004071049963,17.33,0.09,198.01893,-3.33566,53743.49300,0
1004071049963,17.30,0.09,198.01889,-3.33565,53743.49894,0
1004071049963,17.21,0.09,198.01890,-3.33564,53743.50486,0
1004071049963,17.10,0.09,198.01894,-3.33570,53758.49474,0
1004071049963,17.13,0.09,198.01897,-3.33562,53758.50313,0
1004071049963,17.05,0.08,198.01903,-3.33568,53758.51154,0
1004071049963,17.36,0.09,198.01887,-3.33571,53758.51991,0
1004071049963,17.20,0.09,198.01893,-3.33577,53765.49846,0
1004071049963,17.27,0.09,198.01890,-3.33573,53765.50398,0
1004071049963,17.25,0.09,198.01893,-3.33573,53765.50939,0
1004071049963,17.12,0.09,198.01895,-3.33563,53765.51487,0
1004071049963,17.15,0.09,198.01882,-3.33577,53937.15840,0
1004071049963,17.13,0.09,198.01873,-3.33571,53937.16370,0
1004071049963,17.50,0.11,198.01894,-3.33558,53937.16900,0
1004071049963,17.16,0.10,198.01891,-3.33561,53937.17429,0
1004071049963,17.60,0.25,198.01851,-3.33541,53903.24975,0
1004071049963,17.26,0.21,198.01912,-3.33568,53903.25076,0
1004071049963,17.63,0.26,198.01893,-3.33582,53903.25177,0
1004071049963,17.05,0.19,198.01933,-3.33566,53903.25277,0
1004071049963,17.11,0.19,198.01877,-3.33580,53863.32242,0
1004071049963,17.17,0.19,198.01870,-3.33575,53863.32316,0
1004071049963,17.26,0.20,198.01900,-3.33580,53863.32389,0
1004071049963,17.16,0.19,198.01886,-3.33555,53863.32476,0
1004071049963,17.23,0.09,198.01897,-3.33569,53874.23479,0
1004071049963,16.71,0.08,198.01913,-3.33571,53874.24124,0
1004071049963,16.85,0.08,198.01893,-3.33563,53874.24767,0
1004071049963,16.98,0.09,198.01891,-3.33576,53874.25411,0
1004071049963,17.19,0.08,198.01890,-3.33563,53881.23738,0
1004071049963,17.23,0.08,198.01892,-3.33568,53881.24857,0
1004071049963,17.24,0.08,198.01892,-3.33560,53881.25978,0
1004071049963,17.27,0.08,198.01887,-3.33569,53881.27101,0
1004071049963,17.22,0.09,198.01895,-3.33560,54197.33154,0
1004071049963,17.23,0.09,198.01895,-3.33570,54197.33862,0
