MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1007017040341,16.69,0.08,47.29862,-6.21162,53710.21420,0
1007017040341,16.66,0.08,47.29863,-6.21164,53710.22022,0
1007017040341,16.75,0.08,47.29861,-6.21156,53710.22624,0
1007017040341,16.70,0.08,47.29866,-6.21160,53710.23222,0
1007017040341,16.67,0.08,47.29861,-6.21160,53680.30674,0
1007017040341,16.66,0.08,47.29863,-6.21157,53680.31478,0
1007017040341,16.70,0.08,47.29859,-6.21160,53680.32288,0
1007017040341,16.64,0.08,47.29861,-6.21160,53680.33096,0
1007017040341,16.60,0.08,47.29865,-6.21164,53704.31201,0
1007017040341,16.64,0.08,47.29873,-6.21169,53704.32142,0
1007017040341,16.74,0.08,47.29861,-6.21150,53704.33085,0
1007017040341,16.61,0.08,47.29853,-6.21163,53704.34026,0
1007017040341,16.66,0.08,47.29863,-6.21159,53651.37148,0
1007017040341,16.74,0.08,47.29854,-6.21154,53651.37745,0
1007017040341,16.72,0.08,47.29859,-6.21161,53651.38340,0
1007017040341,16.72,0.08,47.29861,-6.21163,53651.38935,0
1007017040341,16.67,0.08,47.29861,-6.21163,53667.35709,0
1007017040341,16.68,0.08,47.29858,-6.21159,53667.36978,0
1007017040341,16.64,0.08,47.29863,-6.21169,53667.38216,0
1007017040341,16.65,0.08,47.29870,-6.21156,53667.39458,0
1007017040341,16.67,0.08,47.29859,-6.21159,53673.37035,0
1007017040341,16.71,0.08,47.29865,-6.21162,53673.37686,0
1007017040341,16.68,0.08,47.29863,-6.21160,53673.38340,0
1007017040341,16.70,0.08,47.29862,-6.21161,53673.38992,0
1007017040341,16.68,0.08,47.29857,-6.21161,53626.36792,0
1007017040341,16.66,0.08,47.29862,-6.21168,53626.37695,0
1007017040341,16.67,0.08,47.29857,-6.21164,53626.38592,0
1007017040341,16.64,0.08,47.29854,-6.21162,53626.39489,0
1007017040341,16.68,0.08,47.29860,-6.21153,54084.22676,0
1007017040341,16.72,0.08,47.29864,-6.21151,54084.23265,0
1007017040341,16.63,0.08,47.29861,-6.21165,54084.23858,0
1007017040341,16.64,0.08,47.29863,-6.21162,54084.24445,0
1007017040341,16.69,0.08,47.29860,-6.21154,54091.21048,0
1007017040341,16.66,0.08,47.29855,-6.21162,54091.21648,0
1007017040341,16.67,0.08,47.29859,-6.21161,54091.22244,0
1007017040341,16.54,0.07,47.29872,-6.21202,54091.22843,0
1007017040341,16.70,0.08,47.29865,-6.21162,53742.12076,0
1007017040341,16.71,0.08,47.29860,-6.21156,53742.12924,0
1007017040341,16.66,0.08,47.29853,-6.21165,53742.13772,0
1007017040341,16.62,0.08,47.29860,-6.21161,53742.14618,0
1007017040341,16.68,0.08,47.29867,-6.21159,53764.08842,0
1007017040341,16.65,0.08,47.29858,-6.21169,53798.10805,0
1007017040341,16.72,0.08,47.29860,-6.21158,53798.11301,0
1007017040341,16.73,0.08,47.29853,-6.21158,53798.11788,0
1007017040341,16.63,0.08,47.29865,-6.21153,53798.12274,0
1007017040341,16.73,0.08,47.29864,-6.21161,54056.27664,0
1007017040341,16.68,0.08,47.29854,-6.21165,54056.28305,0
1007017040341,16.70,0.08,47.29866,-6.21155,54056.28947,0
1007017040341,16.68,0.08,47.29861,-6.21163,54056.29592,0
1007017040341,16.66,0.07,47.29860,-6.21168,54062.25495,0
1007017040341,16.70,0.08,47.29859,-6.21158,54062.26281,0
1007017040341,16.67,0.07,47.29862,-6.21164,54062.27070,0
1007017040341,16.66,0.07,47.29862,-6.21164,54062.27857,0
1007017040341,16.66,0.08,47.29857,-6.21162,54010.37352,0
1007017040341,16.60,0.07,47.29865,-6.21169,54010.38346,0
1007017040341,16.64,0.08,47.29859,-6.21164,54010.39341,0
1007017040341,16.70,0.08,47.29857,-6.21158,54010.40335,0
1007017040341,16.68,0.08,47.29858,-6.21164,54028.32091,0
1007017040341,16.69,0.08,47.29861,-6.21158,54028.33100,0
1007017040341,16.70,0.08,47.29860,-6.21162,54028.34112,0
1007017040341,16.71,0.08,47.29860,-6.21164,54028.35119,0
1007017040341,16.63,0.07,47.29857,-6.21165,54029.31202,0
1007017040341,16.67,0.07,47.29861,-6.21160,54029.32282,0
1007017040341,16.71,0.08,47.29854,-6.21161,54029.33365,0
1007017040341,16.69,0.08,47.29859,-6.21156,54029.34443,0
1007017040341,16.69,0.08,47.29856,-6.21158,53997.38835,0
1007017040341,16.64,0.07,47.29855,-6.21167,53997.39899,0
1007017040341,16.65,0.07,47.29867,-6.21166,53997.40961,0
1007017040341,16.67,0.07,47.29861,-6.21159,53997.42031,0
1007017040341,16.66,0.08,47.29861,-6.21157,54004.44571,0
1007017040341,16.73,0.08,47.29860,-6.21159,54004.45213,0
1007017040341,16.68,0.08,47.29858,-6.21160,54004.45856,0
1007017040341,16.67,0.08,47.29856,-6.21162,54004.46499,0
1007017040341,16.69,0.08,47.29860,-6.21159,54406.29675,0
1007017040341,16.71,0.08,47.29859,-6.21165,54406.30465,0
1007017040341,16.67,0.08,47.29858,-6.21161,54406.31258,0
1007017040341,16.64,0.07,47.29867,-6.21159,54406.32049,0
1007017040341,16.65,0.08,47.29859,-6.21158,54415.27037,0
1007017040341,16.62,0.07,47.29858,-6.21168,54415.27811,0
1007017040341,16.68,0.08,47.29861,-6.21160,54415.28590,0
1007017040341,16.60,0.07,47.29866,-6.21169,54415.29365,0
