MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1149029055916,17.12,0.08,119.18470,50.46136,55205.30745,0
1149029055916,17.13,0.09,119.18463,50.46167,53714.28247,0
1149029055916,17.21,0.09,119.18502,50.46152,53714.28897,0
1149029055916,17.05,0.08,119.18506,50.46163,53714.29547,0
1149029055916,16.95,0.08,119.18491,50.46146,53714.30202,0
1149029055916,16.41,0.07,119.18497,50.46150,53687.35640,0
1149029055916,16.49,0.07,119.18461,50.46158,53687.36455,0
1149029055916,16.38,0.07,119.18478,50.46161,53687.37269,0
1149029055916,16.47,0.07,119.18470,50.46153,53687.38081,0
1149029055916,16.54,0.08,119.18481,50.46159,53833.18291,0
1149029055916,16.68,0.08,119.18482,50.46150,53833.19066,0
1149029055916,16.68,0.08,119.18464,50.46166,53833.19837,0
1149029055916,16.70,0.08,119.18504,50.46160,53833.20607,0
1149029055916,16.97,0.09,119.18483,50.46156,54085.29919,0
1149029055916,17.09,0.08,119.18502,50.46166,54085.31740,0
1149029055916,16.89,0.08,119.18477,50.46160,54085.32729,0
1149029055916,16.83,0.08,119.18480,50.46163,54085.33722,0
1149029055916,16.55,0.08,119.18491,50.46156,54096.25065,0
1149029055916,16.63,0.08,119.18484,50.46151,54096.25959,0
1149029055916,16.57,0.08,119.18474,50.46164,54096.26856,0
1149029055916,16.65,0.08,119.18485,50.46162,54096.27755,0
1149029055916,16.35,0.07,119.18496,50.46161,53769.21246,0
1149029055916,16.35,0.07,119.18495,50.46153,53769.21946,0
1149029055916,16.35,0.07,119.18481,50.46170,53769.22644,0
1149029055916,16.37,0.07,119.18487,50.46154,53769.23344,0
1149029055916,16.23,0.08,119.18479,50.46156,53792.15769,0
1149029055916,16.22,0.07,119.18474,50.46150,53792.16325,0
1149029055916,16.23,0.07,119.18492,50.46160,53792.16887,0
1149029055916,16.30,0.07,119.18483,50.46158,53792.17449,0
1149029055916,16.83,0.08,119.18482,50.46154,53744.30414,0
1149029055916,16.77,0.08,119.18493,50.46156,53744.31246,0
1149029055916,16.81,0.08,119.18489,50.46160,53744.32088,0
1149029055916,16.85,0.08,119.18492,50.46154,53744.32930,0
1149029055916,16.78,0.08,119.18469,50.46159,54050.40265,0
1149029055916,16.80,0.08,119.18480,50.46160,54050.41195,0
1149029055916,16.76,0.08,119.18490,50.46156,54050.42129,0
1149029055916,16.74,0.08,119.18496,50.46164,54050.43055,0
1149029055916,16.47,0.07,119.18482,50.46169,54058.43473,0
1149029055916,16.45,0.07,119.18478,50.46165,54058.44173,0
1149029055916,16.49,0.07,119.18465,50.46167,54058.44877,0
1149029055916,16.51,0.07,119.18468,50.46149,54058.45585,0
1149029055916,16.88,0.08,119.18464,50.46177,54066.26431,0
1149029055916,16.86,0.08,119.18504,50.46185,54066.27472,0
1149029055916,16.86,0.08,119.18498,50.46155,54066.28513,0
1149029055916,16.98,0.08,119.18467,50.46170,54066.29572,0
1149029055916,16.70,0.08,119.18489,50.46159,54029.36231,0
1149029055916,16.68,0.08,119.18475,50.46166,54029.37221,0
1149029055916,16.76,0.08,119.18491,50.46156,54029.38211,0
1149029055916,16.68,0.07,119.18490,50.46171,54029.39207,0
1149029055916,16.66,0.08,119.18470,50.46164,54204.14433,0
1149029055916,16.77,0.08,119.18477,50.46151,54204.14926,0
1149029055916,16.62,0.07,119.18481,50.46162,54204.15414,0
1149029055916,16.64,0.08,119.18511,50.46171,54204.15908,0
1149029055916,16.95,0.08,119.18488,50.46151,54172.15902,0
1149029055916,17.03,0.08,119.18485,50.46160,54172.16563,0
1149029055916,17.23,0.09,119.18476,50.46156,54172.17216,0
1149029055916,17.12,0.08,119.18458,50.46170,54172.17871,0
1149029055916,16.61,0.07,119.18514,50.46167,54384.42900,0
1149029055916,16.57,0.07,119.18479,50.46180,54384.43452,0
1149029055916,16.53,0.07,119.18494,50.46220,54384.44004,0
