MasterID,Mag,Magerr,RA,Dec,MJD,Blend
2000159007414,15.81,0.06,171.16352,-0.81331,53797.33593,0
2000159007414,15.91,0.06,171.16348,-0.81330,53797.34317,0
2000159007414,15.99,0.06,171.16353,-0.81369,53797.35078,0
2000159007414,15.96,0.06,171.16355,-0.81369,53797.35813,0
2000159007414,15.97,0.05,171.16355,-0.81373,54212.21823,0
2000159007414,15.97,0.05,171.16356,-0.81373,54212.22517,0
2000159007414,15.97,0.05,171.16356,-0.81372,54212.23202,0
2000159007414,15.95,0.05,171.16357,-0.81373,54212.23892,0
2000159007414,16.02,0.06,171.16354,-0.81373,54148.38548,0
2000159007414,16.01,0.06,171.16355,-0.81375,54148.38993,0
2000159007414,15.99,0.06,171.16354,-0.81375,54148.39440,0
2000159007414,16.00,0.06,171.16354,-0.81374,54148.39886,0
2000159007414,15.93,0.05,171.16355,-0.81372,54172.34291,0
2000159007414,15.92,0.05,171.16356,-0.81370,54172.35124,0
2000159007414,15.91,0.05,171.16356,-0.81370,54172.35970,0
2000159007414,15.90,0.05,171.16357,-0.81369,54172.36805,0
2000159007414,15.97,0.06,171.16356,-0.81371,54538.37367,0
2000159007414,15.98,0.06,171.16356,-0.81372,54538.38073,0
2000159007414,15.96,0.06,171.16356,-0.81371,54538.38784,0
2000159007414,15.98,0.06,171.16357,-0.81372,54538.39493,0
2000159007414,15.91,0.05,171.16356,-0.81370,54591.16696,0
2000159007414,15.92,0.05,171.16356,-0.81371,54591.17430,0
2000159007414,15.94,0.05,171.16355,-0.81370,54591.18160,0
2000159007414,15.93,0.05,171.16355,-0.81371,54591.18886,0
2000159007414,15.97,0.06,171.16354,-0.81374,54923.21515,0
2000159007414,15.97,0.06,171.16353,-0.81376,54923.22338,0
2000159007414,15.96,0.06,171.16355,-0.81374,54923.23149,0
2000159007414,15.95,0.06,171.16355,-0.81373,54923.23967,0
2000159007414,15.98,0.06,171.16357,-0.81375,54882.35463,0
2000159007414,15.96,0.06,171.16357,-0.81376,54882.36204,0
2000159007414,15.97,0.06,171.16356,-0.81374,54882.36938,0
2000159007414,15.96,0.06,171.16357,-0.81374,54882.37672,0
2000159007414,15.96,0.06,171.16356,-0.81374,54862.41141,0
2000159007414,15.96,0.06,171.16354,-0.81373,54862.41687,0
2000159007414,15.97,0.06,171.16356,-0.81374,54862.42238,0
2000159007414,15.97,0.06,171.16355,-0.81373,54862.42790,0
2000159007414,15.94,0.06,171.16355,-0.81371,54907.31336,0
2000159007414,15.95,0.06,171.16354,-0.81372,54907.32479,0
2000159007414,15.96,0.06,171.16355,-0.81372,54907.33629,0
2000159007414,15.96,0.06,171.16355,-0.81370,54907.34781,0
2000159007414,15.94,0.06,171.16355,-0.81373,55268.31339,0
2000159007414,15.93,0.06,171.16355,-0.81372,55268.32365,0
2000159007414,15.93,0.06,171.16355,-0.81373,55268.33394,0
2000159007414,15.96,0.06,171.16356,-0.81373,55268.34434,0
2000159007414,15.93,0.06,171.16356,-0.81374,55987.38326,0
2000159007414,15.94,0.06,171.16355,-0.81373,55987.39142,0
2000159007414,15.93,0.06,171.16356,-0.81374,55987.39959,0
2000159007414,15.94,0.06,171.16356,-0.81373,55987.40776,0
2000159007414,15.95,0.06,171.16355,-0.81374,56000.33962,0
2000159007414,15.96,0.06,171.16355,-0.81373,56000.34721,0
2000159007414,15.96,0.06,171.16354,-0.81372,56000.35499,0
2000159007414,15.94,0.06,171.16354,-0.81373,56000.36255,0
2000159007414,15.97,0.06,171.16354,-0.81374,56374.26895,0
2000159007414,15.98,0.06,171.16354,-0.81373,56374.27969,0
2000159007414,15.98,0.06,171.16355,-0.81373,56374.29047,0
2000159007414,15.97,0.06,171.16355,-0.81374,56374.30129,0
2000159007414,15.99,0.06,171.16353,-0.81373,56402.15633,0
2000159007414,16.01,0.06,171.16353,-0.81372,56402.16348,0
2000159007414,15.98,0.06,171.16354,-0.81374,56402.17060,0
2000159007414,15.98,0.06,171.16354,-0.81373,56402.17777,0
