MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1001019041235,16.56,0.08,51.88560,-0.81256,53709.23694,0
1001019041235,16.54,0.07,51.88558,-0.81255,53709.24384,0
1001019041235,16.54,0.07,51.88558,-0.81258,53709.25075,0
1001019041235,16.56,0.08,51.88560,-0.81259,53709.25767,0
1001019041235,16.52,0.07,51.88558,-0.81259,53729.22288,0
1001019041235,16.56,0.08,51.88557,-0.81257,53729.23084,0
1001019041235,16.56,0.08,51.88552,-0.81254,53729.23882,0
1001019041235,16.54,0.08,51.88553,-0.81254,53729.24682,0
1001019041235,16.52,0.07,51.88557,-0.81253,53675.31429,0
1001019041235,16.54,0.07,51.88557,-0.81255,53675.32300,0
1001019041235,16.55,0.07,51.88559,-0.81251,53675.33172,0
1001019041235,16.51,0.07,51.88563,-0.81257,53675.34045,0
1001019041235,16.54,0.08,51.88566,-0.81258,53685.38924,0
1001019041235,16.51,0.08,51.88561,-0.81257,53685.39484,0
1001019041235,16.56,0.08,51.88554,-0.81258,53685.40046,0
1001019041235,16.52,0.08,51.88557,-0.81263,53685.40607,0
1001019041235,16.48,0.07,51.88556,-0.81255,53703.20107,0
1001019041235,16.49,0.08,51.88559,-0.81251,53703.20749,0
1001019041235,16.52,0.08,51.88553,-0.81259,53703.21393,0
1001019041235,16.52,0.08,51.88561,-0.81256,53703.22038,0
1001019041235,16.48,0.08,51.88559,-0.81258,53650.37998,0
1001019041235,16.53,0.08,51.88558,-0.81259,53650.38701,0
1001019041235,16.53,0.08,51.88559,-0.81253,53650.39426,0
1001019041235,16.49,0.08,51.88560,-0.81255,53650.40129,0
1001019041235,16.52,0.07,51.88556,-0.81251,53670.34721,0
1001019041235,16.51,0.07,51.88559,-0.81256,53670.35203,0
1001019041235,16.52,0.08,51.88556,-0.81254,53670.35702,0
1001019041235,16.53,0.08,51.88555,-0.81250,53670.36193,0
1001019041235,16.55,0.08,51.88560,-0.81252,53626.40216,0
1001019041235,16.48,0.08,51.88558,-0.81253,53626.40922,0
1001019041235,16.56,0.08,51.88558,-0.81252,53626.41628,0
1001019041235,16.52,0.08,51.88559,-0.81257,53626.42328,0
1001019041235,16.57,0.07,51.88553,-0.81253,54090.22659,0
1001019041235,16.53,0.07,51.88558,-0.81256,54090.23194,0
1001019041235,16.54,0.07,51.88561,-0.81257,54090.23731,0
1001019041235,16.48,0.07,51.88559,-0.81258,54090.24270,0
1001019041235,16.53,0.08,51.88560,-0.81255,53791.10185,0
1001019041235,16.60,0.08,51.88561,-0.81259,53791.10828,0
1001019041235,16.50,0.08,51.88559,-0.81253,53791.11472,0
1001019041235,16.56,0.08,51.88559,-0.81257,53791.12114,0
1001019041235,16.53,0.08,51.88556,-0.81255,53740.20288,0
1001019041235,16.56,0.08,51.88557,-0.81255,53740.21090,0
1001019041235,16.54,0.08,51.88555,-0.81257,53740.21895,0
1001019041235,16.51,0.07,51.88558,-0.81260,53740.22699,0
1001019041235,16.52,0.08,51.88555,-0.81257,53763.12776,0
1001019041235,16.54,0.08,51.88558,-0.81258,53763.13585,0
1001019041235,16.53,0.08,51.88559,-0.81260,53763.14390,0
1001019041235,16.49,0.07,51.88561,-0.81254,53763.15193,0
1001019041235,16.17,0.07,51.88551,-0.81247,53799.08952,0
1001019041235,16.52,0.08,51.88557,-0.81257,53799.09385,0
1001019041235,16.60,0.08,51.88562,-0.81256,53799.09818,0
1001019041235,16.54,0.08,51.88552,-0.81254,53799.10255,0
1001019041235,16.55,0.07,51.88552,-0.81253,54055.29188,0
1001019041235,16.54,0.07,51.88561,-0.81256,54055.30316,0
1001019041235,16.53,0.07,51.88557,-0.81257,54055.31445,0
1001019041235,16.54,0.07,51.88554,-0.81255,54055.32577,0
1001019041235,16.54,0.07,51.88559,-0.81255,54025.32376,0
1001019041235,16.53,0.08,51.88553,-0.81255,54025.33177,0
