MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1009075049876,16.70,0.08,210.58879,-9.15289,53734.52027,0
1009075049876,16.70,0.08,210.58886,-9.15297,53734.52608,0
1009075049876,16.80,0.08,210.58866,-9.15286,53734.53185,0
1009075049876,16.84,0.08,210.58870,-9.15284,53734.53773,0
1009075049876,16.88,0.08,210.58865,-9.15288,53555.19379,0
1009075049876,16.90,0.08,210.58863,-9.15288,53555.19913,0
1009075049876,16.86,0.08,210.58871,-9.15287,53555.20448,0
1009075049876,16.80,0.08,210.58853,-9.15293,53555.20988,0
1009075049876,16.80,0.08,210.58860,-9.15288,53563.17399,0
1009075049876,16.88,0.08,210.58857,-9.15279,53563.18045,0
1009075049876,16.88,0.09,210.58851,-9.15300,53563.18699,0
1009075049876,16.89,0.09,210.58858,-9.15286,53563.19349,0
1009075049876,16.84,0.08,210.58869,-9.15295,53525.23184,0
1009075049876,16.84,0.08,210.58873,-9.15287,53525.24002,0
1009075049876,16.78,0.08,210.58877,-9.15284,53525.24826,0
1009075049876,16.84,0.08,210.58868,-9.15284,53525.25655,0
1009075049876,16.78,0.08,210.58871,-9.15294,53532.22512,0
1009075049876,16.86,0.08,210.58867,-9.15288,53532.23215,0
1009075049876,16.85,0.08,210.58867,-9.15294,53532.23920,0
1009075049876,16.86,0.08,210.58863,-9.15291,53532.24625,0
1009075049876,16.83,0.08,210.58861,-9.15290,53498.32266,0
1009075049876,16.80,0.08,210.58869,-9.15288,53844.37215,0
1009075049876,16.82,0.08,210.58856,-9.15291,53844.38024,0
1009075049876,16.84,0.08,210.58862,-9.15286,53844.38831,0
1009075049876,16.87,0.08,210.58869,-9.15290,53844.39642,0
1009075049876,16.86,0.09,210.58864,-9.15299,54094.54258,0
1009075049876,16.84,0.09,210.58868,-9.15286,54094.54728,0
1009075049876,16.84,0.09,210.58864,-9.15287,54094.55198,0
1009075049876,16.89,0.09,210.58868,-9.15281,54094.55662,0
1009075049876,16.81,0.09,210.58860,-9.15289,53772.51328,0
1009075049876,16.85,0.08,210.58866,-9.15293,53772.52033,0
1009075049876,16.93,0.08,210.58866,-9.15289,53772.52740,0
1009075049876,16.89,0.08,210.58865,-9.15286,53772.53448,0
1009075049876,16.89,0.08,210.58865,-9.15286,53790.44421,0
1009075049876,16.82,0.08,210.58868,-9.15286,53790.45170,0
1009075049876,16.86,0.08,210.58864,-9.15285,53790.45927,0
1009075049876,16.86,0.08,210.58867,-9.15295,53790.46694,0
