MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1140031058599,16.09,0.07,109.92421,41.34872,53479.15802,0
1140031058599,16.09,0.07,109.92425,41.34880,53479.16341,0
1140031058599,16.09,0.07,109.92418,41.34876,53479.16875,0
1140031058599,16.09,0.07,109.92424,41.34877,53479.17452,0
1140031058599,16.09,0.07,109.92420,41.34881,53706.39309,0
1140031058599,16.09,0.07,109.92429,41.34882,53706.40345,0
1140031058599,16.07,0.07,109.92428,41.34877,53706.41439,0
1140031058599,16.09,0.07,109.92424,41.34877,53706.42605,0
1140031058599,16.08,0.07,109.92413,41.34879,53712.32893,0
1140031058599,16.06,0.07,109.92431,41.34883,53712.33595,0
1140031058599,16.03,0.07,109.92442,41.34881,53712.34297,0
1140031058599,16.09,0.07,109.92427,41.34877,53712.35002,0
1140031058599,16.01,0.07,109.92429,41.34875,53725.43726,0
1140031058599,16.03,0.07,109.92432,41.34877,53725.44549,0
1140031058599,16.08,0.07,109.92428,41.34881,53725.45371,0
1140031058599,16.08,0.07,109.92421,41.34876,53725.46196,0
1140031058599,16.06,0.07,109.92432,41.34880,53734.26730,0
1140031058599,16.08,0.07,109.92427,41.34882,53734.27476,0
1140031058599,16.10,0.07,109.92423,41.34877,53734.28219,0
1140031058599,16.08,0.07,109.92423,41.34875,53734.28964,0
1140031058599,16.11,0.07,109.92420,41.34874,53678.39397,0
1140031058599,16.09,0.07,109.92419,41.34878,53678.40062,0
1140031058599,16.07,0.07,109.92420,41.34876,53678.40725,0
1140031058599,16.07,0.07,109.92430,41.34880,53678.41384,0
1140031058599,16.06,0.07,109.92437,41.34882,53685.44428,0
1140031058599,16.09,0.07,109.92426,41.34873,53685.45075,0
1140031058599,16.06,0.07,109.92434,41.34882,53685.45730,0
1140031058599,16.06,0.07,109.92435,41.34880,53685.46394,0
1140031058599,16.11,0.07,109.92416,41.34884,53687.30587,0
1140031058599,16.11,0.07,109.92416,41.34879,53687.31279,0
1140031058599,16.08,0.07,109.92416,41.34876,53687.31972,0
1140031058599,16.09,0.07,109.92415,41.34878,53687.32664,0
1140031058599,16.09,0.07,109.92417,41.34871,53696.45001,0
1140031058599,16.14,0.07,109.92419,41.34876,53696.45640,0
1140031058599,16.10,0.07,109.92420,41.34881,53696.46226,0
1140031058599,16.11,0.07,109.92421,41.34879,53696.46780,0
1140031058599,16.07,0.07,109.92422,41.34879,53671.39139,0
1140031058599,16.11,0.07,109.92422,41.34878,53671.39731,0
1140031058599,16.09,0.07,109.92424,41.34882,53671.40326,0
1140031058599,16.06,0.07,109.92432,41.34880,53671.40923,0
1140031058599,16.06,0.07,109.92424,41.34873,54086.32012,0
1140031058599,16.06,0.07,109.92426,41.34877,54086.33087,0
1140031058599,16.11,0.07,109.92418,41.34874,54086.34158,0
1140031058599,16.06,0.07,109.92425,41.34874,54086.35358,0
1140031058599,16.07,0.06,109.92420,41.34872,54095.25209,0
1140031058599,16.07,0.06,109.92420,41.34874,54095.26243,0
1140031058599,16.07,0.07,109.92422,41.34878,54095.27273,0
1140031058599,16.06,0.07,109.92422,41.34874,54095.28310,0
1140031058599,16.07,0.07,109.92427,41.34880,53770.16074,0
1140031058599,16.06,0.07,109.92425,41.34878,53770.16856,0
1140031058599,16.08,0.07,109.92426,41.34877,53770.17636,0
1140031058599,16.08,0.07,109.92427,41.34885,53770.18422,0
1140031058599,16.05,0.07,109.92422,41.34871,53788.09986,0
1140031058599,16.08,0.07,109.92423,41.34877,53788.10642,0
1140031058599,16.09,0.07,109.92423,41.34872,53788.11296,0
1140031058599,16.04,0.07,109.92421,41.34879,53788.11953,0
1140031058599,16.12,0.07,109.92418,41.34875,53741.27444,0
1140031058599,16.08,0.07,109.92420,41.34877,53741.28096,0
1140031058599,16.02,0.07,109.92430,41.34879,53741.28748,0
1140031058599,16.04,0.07,109.92442,41.34883,53741.29412,0
