MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1007110094019,15.73,0.06,310.94826,-6.25688,53706.06270,0
1007110094019,15.76,0.06,310.94829,-6.25688,53706.06805,0
1007110094019,15.70,0.06,310.94830,-6.25688,53706.07344,0
1007110094019,15.68,0.06,310.94836,-6.25691,53706.07882,0
1007110094019,15.67,0.06,310.94825,-6.25688,53553.32527,0
1007110094019,15.69,0.06,310.94824,-6.25685,53553.33235,0
1007110094019,15.65,0.06,310.94832,-6.25687,53553.33943,0
1007110094019,15.68,0.06,310.94830,-6.25695,53553.34649,0
1007110094019,15.70,0.06,310.94827,-6.25687,53563.35455,0
1007110094019,15.72,0.06,310.94823,-6.25686,53563.36111,0
1007110094019,15.63,0.06,310.94823,-6.25685,53563.36767,0
1007110094019,15.69,0.06,310.94829,-6.25691,53563.37418,0
1007110094019,15.68,0.06,310.94832,-6.25694,53525.39726,0
1007110094019,15.69,0.06,310.94825,-6.25682,53525.40614,0
1007110094019,15.73,0.06,310.94824,-6.25684,53525.41495,0
1007110094019,15.67,0.06,310.94833,-6.25686,53525.42380,0
1007110094019,15.71,0.06,310.94828,-6.25685,53696.05359,0
1007110094019,15.64,0.06,310.94829,-6.25687,53696.05841,0
1007110094019,15.74,0.06,310.94828,-6.25686,53696.06325,0
1007110094019,15.72,0.06,310.94831,-6.25683,53696.06808,0
1007110094019,15.68,0.06,310.94831,-6.25693,53646.17064,0
1007110094019,15.66,0.06,310.94832,-6.25689,53646.17820,0
1007110094019,15.75,0.07,310.94827,-6.25687,53646.18578,0
1007110094019,15.65,0.06,310.94829,-6.25691,53646.19329,0
1007110094019,15.53,0.07,310.94835,-6.25691,53637.14516,0
1007110094019,15.80,0.07,310.94826,-6.25687,53637.15158,0
1007110094019,15.64,0.07,310.94825,-6.25684,53637.15802,0
1007110094019,15.60,0.07,310.94837,-6.25676,53637.16447,0
1007110094019,15.73,0.07,310.94827,-6.25693,53850.46250,0
1007110094019,15.76,0.07,310.94828,-6.25694,53850.46634,0
1007110094019,15.69,0.06,310.94825,-6.25688,53850.47017,0
1007110094019,15.72,0.06,310.94824,-6.25688,53850.47397,0
1007110094019,15.80,0.07,310.94832,-6.25694,53917.32125,0
1007110094019,15.74,0.07,310.94822,-6.25689,53917.32768,0
1007110094019,15.71,0.07,310.94827,-6.25686,53917.33407,0
1007110094019,15.69,0.07,310.94832,-6.25694,53917.34049,0
