MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1001013053070,16.84,0.08,33.96846,-0.29462,53710.18691,0
1001013053070,16.86,0.08,33.96847,-0.29468,53710.19440,0
1001013053070,16.80,0.08,33.96846,-0.29471,53710.20191,0
1001013053070,16.81,0.08,33.96849,-0.29469,53710.20939,0
1001013053070,16.81,0.08,33.96850,-0.29470,53729.15863,0
1001013053070,16.85,0.08,33.96851,-0.29463,53729.16661,0
1001013053070,16.85,0.08,33.96846,-0.29469,53729.17460,0
1001013053070,16.84,0.08,33.96840,-0.29470,53729.18255,0
1001013053070,16.77,0.08,33.96853,-0.29478,53675.26528,0
1001013053070,16.88,0.08,33.96850,-0.29478,53675.27171,0
1001013053070,16.78,0.08,33.96848,-0.29472,53675.27814,0
1001013053070,16.80,0.08,33.96850,-0.29464,53675.28456,0
1001013053070,16.91,0.08,33.96852,-0.29459,53703.17384,0
1001013053070,16.82,0.08,33.96850,-0.29469,53703.18026,0
1001013053070,16.86,0.08,33.96847,-0.29472,53703.18672,0
1001013053070,16.88,0.08,33.96840,-0.29468,53703.19316,0
1001013053070,16.84,0.08,33.96853,-0.29478,53648.34655,0
1001013053070,16.85,0.08,33.96846,-0.29477,53648.35582,0
1001013053070,16.82,0.08,33.96853,-0.29476,53648.36505,0
1001013053070,16.80,0.08,33.96850,-0.29467,53648.37430,0
1001013053070,16.87,0.08,33.96852,-0.29478,53654.33682,0
1001013053070,16.86,0.08,33.96842,-0.29478,53654.34214,0
1001013053070,16.84,0.08,33.96845,-0.29477,53654.34751,0
1001013053070,16.83,0.08,33.96850,-0.29469,53654.35281,0
1001013053070,16.82,0.08,33.96844,-0.29464,53670.31437,0
1001013053070,16.84,0.08,33.96843,-0.29467,53670.32316,0
1001013053070,16.81,0.08,33.96849,-0.29472,53670.33171,0
1001013053070,16.88,0.08,33.96842,-0.29475,53670.34029,0
1001013053070,16.81,0.08,33.96859,-0.29481,53627.38544,0
1001013053070,16.87,0.08,33.96861,-0.29480,53627.39473,0
1001013053070,16.82,0.08,33.96857,-0.29474,53627.40385,0
1001013053070,16.84,0.08,33.96864,-0.29477,53627.41297,0
1001013053070,16.82,0.08,33.96855,-0.29480,54090.19255,0
1001013053070,16.79,0.08,33.96852,-0.29469,54090.19956,0
1001013053070,16.79,0.08,33.96849,-0.29469,54090.20656,0
1001013053070,16.86,0.08,33.96847,-0.29469,54090.21359,0
1001013053070,16.71,0.16,33.96849,-0.29476,53741.11520,0
1001013053070,16.81,0.17,33.96870,-0.29484,53741.12368,0
1001013053070,16.66,0.16,33.96866,-0.29451,53741.13222,0
1001013053070,16.74,0.16,33.96858,-0.29464,53741.14073,0
1001013053070,16.87,0.08,33.96847,-0.29465,53763.09894,0
1001013053070,16.90,0.08,33.96843,-0.29470,53763.10703,0
1001013053070,16.92,0.08,33.96842,-0.29459,53763.11512,0
1001013053070,16.89,0.08,33.96849,-0.29469,53763.12320,0
1001013053070,16.81,0.07,33.96847,-0.29478,54055.24092,0
1001013053070,16.88,0.07,33.96851,-0.29476,54055.25287,0
1001013053070,16.77,0.07,33.96848,-0.29475,54055.26482,0
1001013053070,16.82,0.07,33.96850,-0.29466,54055.27681,0
1001013053070,16.88,0.08,33.96845,-0.29468,54025.32052,0
1001013053070,16.88,0.08,33.96853,-0.29472,54025.32857,0
1001013053070,16.82,0.08,33.96850,-0.29477,53996.33613,0
1001013053070,16.82,0.08,33.96851,-0.29474,53996.34418,0
1001013053070,16.83,0.08,33.96849,-0.29486,53996.35225,0
1001013053070,16.81,0.08,33.96843,-0.29477,53996.36031,0
1001013053070,16.84,0.08,33.96845,-0.29477,54004.42200,0
1001013053070,16.80,0.08,33.96836,-0.29475,54004.42843,0
1001013053070,16.85,0.08,33.96849,-0.29474,54004.43485,0
1001013053070,16.80,0.08,33.96847,-0.29463,54004.44128,0
1001013053070,16.77,0.08,33.96848,-0.29468,54440.14920,0
1001013053070,16.84,0.08,33.96846,-0.29471,54440.15674,0
1001013053070,16.85,0.08,33.96849,-0.29476,54440.16428,0
1001013053070,16.87,0.08,33.96846,-0.29468,54440.17179,0
1001013053070,16.83,0.08,33.96851,-0.29470,54411.23917,0
1001013053070,16.85,0.08,33.96844,-0.29470,54411.24876,0
1001013053070,16.88,0.08,33.96846,-0.29472,54411.25838,0
1001013053070,16.81,0.08,33.96844,-0.29469,54411.26802,0
1001013053070,16.86,0.08,33.96840,-0.29471,54419.20377,0
1001013053070,16.85,0.08,33.96848,-0.29471,54419.20974,0
1001013053070,16.79,0.08,33.96843,-0.29468,54419.21569,0
1001013053070,16.79,0.08,33.96843,-0.29463,54419.22169,0
1001013053070,16.81,0.08,33.96842,-0.29471,54383.31115,0
1001013053070,16.82,0.08,33.96846,-0.29469,54383.31766,0
1001013053070,16.82,0.08,33.96852,-0.29460,54383.32418,0
1001013053070,16.82,0.08,33.96845,-0.29472,54383.33071,0
1001013053070,16.82,0.08,33.96846,-0.29471,54392.30608,0
1001013053070,16.79,0.08,33.96847,-0.29469,54392.31530,0
1001013053070,16.83,0.08,33.96846,-0.29466,54392.32453,0
1001013053070,16.78,0.08,33.96845,-0.29467,54392.33378,0
1001013053070,16.84,0.08,33.96846,-0.29470,54404.26898,0
1001013053070,16.80,0.08,33.96845,-0.29466,54404.27754,0
1001013053070,16.83,0.08,33.96837,-0.29457,54404.28397,0
1001013053070,16.85,0.08,33.96844,-0.29468,54404.29042,0
1001013053070,16.79,0.08,33.96848,-0.29468,54355.39743,0
1001013053070,16.80,0.08,33.96846,-0.29470,54355.40397,0
1001013053070,16.76,0.08,33.96851,-0.29465,54355.41052,0
1001013053070,16.80,0.08,33.96850,-0.29475,54355.41703,0
1001013053070,16.88,0.08,33.96839,-0.29467,54801.22188,0
1001013053070,16.87,0.08,33.96843,-0.29466,54801.22975,0
1001013053070,16.77,0.08,33.96843,-0.29470,54801.23769,0
1001013053070,16.80,0.08,33.96844,-0.29479,54801.24560,0
1001013053070,16.77,0.08,33.96850,-0.29483,54830.14213,0
1001013053070,16.87,0.08,33.96843,-0.29471,54830.14936,0
1001013053070,16.85,0.08,33.96844,-0.29476,54830.15643,0
1001013053070,16.85,0.08,33.96841,-0.29471,54830.16355,0
1001013053070,16.78,0.08,33.96852,-0.29469,54498.14508,0
1001013053070,16.83,0.08,33.96851,-0.29467,54498.15044,0
1001013053070,16.78,0.08,33.96854,-0.29460,54498.15583,0
1001013053070,16.72,0.08,33.96849,-0.29467,54498.16118,0
1001013053070,16.82,0.08,33.96839,-0.29463,54506.10631,0
1001013053070,16.90,0.08,33.96847,-0.29464,54506.11268,0
1001013053070,16.83,0.08,33.96845,-0.29469,54506.11907,0
1001013053070,16.80,0.08,33.96851,-0.29469,54506.12548,0
1001013053070,16.62,0.07,33.96856,-0.29466,54466.20472,0
1001013053070,16.82,0.08,33.96844,-0.29472,54466.21064,0
1001013053070,16.82,0.08,33.96845,-0.29463,54466.21655,0
1001013053070,16.83,0.08,33.96852,-0.29479,54466.22247,0
1001013053070,16.77,0.08,33.96843,-0.29475,54772.30305,0
1001013053070,16.86,0.08,33.96845,-0.29470,54772.30786,0
1001013053070,16.76,0.08,33.96839,-0.29476,54772.31267,0
1001013053070,16.86,0.08,33.96836,-0.29473,54772.31749,0
1001013053070,16.83,0.08,33.96855,-0.29471,54787.25139,0
1001013053070,16.85,0.08,33.96859,-0.29448,54787.25868,0
1001013053070,16.91,0.08,33.96853,-0.29473,54787.26594,0
1001013053070,16.88,0.08,33.96845,-0.29467,54787.27309,0
1001013053070,16.78,0.08,33.96847,-0.29477,54747.39129,0
1001013053070,16.81,0.08,33.96857,-0.29474,54747.39775,0
1001013053070,16.84,0.08,33.96853,-0.29473,54747.40441,0
1001013053070,16.86,0.08,33.96857,-0.29477,54747.41110,0
1001013053070,16.80,0.08,33.96856,-0.29476,54717.41058,0
1001013053070,16.79,0.08,33.96857,-0.29476,54717.41423,0
1001013053070,16.84,0.08,33.96850,-0.29468,54730.47029,0
1001013053070,16.83,0.08,33.96850,-0.29464,54730.47679,0
1001013053070,16.81,0.08,33.96850,-0.29471,54730.48333,0
1001013053070,16.83,0.08,33.96845,-0.29470,54730.48981,0
1001013053070,16.85,0.08,33.96863,-0.29472,54738.34870,0
1001013053070,16.78,0.08,33.96845,-0.29456,54738.35953,0
1001013053070,16.73,0.07,33.96856,-0.29472,54738.37051,0
1001013053070,16.77,0.08,33.96848,-0.29470,54738.38137,0
1001013053070,16.85,0.08,33.96842,-0.29455,55063.42438,0
1001013053070,16.85,0.08,33.96830,-0.29472,55063.43152,0
1001013053070,16.79,0.08,33.96832,-0.29450,55063.43866,0
1001013053070,16.77,0.09,33.96845,-0.29485,55063.44596,0
1001013053070,16.95,0.11,33.96833,-0.29479,55073.37065,0
1001013053070,16.66,0.10,33.96841,-0.29472,55073.37674,0
1001013053070,16.64,0.09,33.96825,-0.29463,55073.38262,0
1001013053070,16.71,0.11,33.96836,-0.29479,55073.38863,0
1001013053070,16.79,0.08,33.96843,-0.29470,55180.12447,0
1001013053070,16.88,0.08,33.96849,-0.29478,55180.13133,0
1001013053070,16.79,0.08,33.96848,-0.29471,55180.13821,0
1001013053070,16.82,0.08,33.96845,-0.29473,55180.14511,0
1001013053070,16.88,0.08,33.96842,-0.29457,54881.11536,0
1001013053070,16.76,0.08,33.96847,-0.29461,54881.12016,0
1001013053070,16.65,0.07,33.96845,-0.29466,54881.12505,0
1001013053070,16.79,0.08,33.96838,-0.29463,54881.12968,0
1001013053070,16.80,0.08,33.96853,-0.29478,55152.27691,0
1001013053070,16.81,0.08,33.96845,-0.29476,55152.28405,0
1001013053070,16.77,0.08,33.96842,-0.29474,55152.29138,0
1001013053070,16.82,0.08,33.96846,-0.29473,55152.29858,0
1001013053070,16.90,0.08,33.96841,-0.29468,55119.31009,0
1001013053070,16.85,0.08,33.96845,-0.29464,55119.31736,0
1001013053070,16.84,0.08,33.96835,-0.29477,55119.32473,0
1001013053070,16.82,0.08,33.96842,-0.29472,55119.33208,0
1001013053070,16.80,0.08,33.96844,-0.29471,55090.40255,0
1001013053070,16.72,0.08,33.96847,-0.29470,55090.41093,0
1001013053070,16.86,0.08,33.96841,-0.29479,55090.41932,0
1001013053070,16.84,0.08,33.96848,-0.29477,55090.42785,0
1001013053070,16.88,0.08,33.96838,-0.29473,55098.44696,0
1001013053070,16.86,0.08,33.96847,-0.29468,55098.45422,0
1001013053070,16.79,0.08,33.96850,-0.29471,55098.46151,0
1001013053070,16.79,0.08,33.96840,-0.29464,55098.46877,0
1001013053070,16.93,0.08,33.96838,-0.29464,55539.20931,0
1001013053070,16.82,0.08,33.96841,-0.29471,55539.22857,0
1001013053070,16.83,0.08,33.96841,-0.29456,55539.23824,0
1001013053070,16.74,0.08,33.96846,-0.29470,55544.07991,0
1001013053070,16.82,0.08,33.96846,-0.29466,55544.09351,0
1001013053070,16.89,0.08,33.96841,-0.29455,55544.10026,0
1001013053070,16.81,0.08,33.96834,-0.29476,55211.16269,0
1001013053070,16.80,0.08,33.96848,-0.29472,55211.16945,0
1001013053070,16.78,0.08,33.96849,-0.29465,55211.17632,0
1001013053070,16.81,0.08,33.96845,-0.29479,55211.18317,0
1001013053070,16.83,0.07,33.96849,-0.29470,55506.32106,0
1001013053070,16.78,0.07,33.96850,-0.29465,55506.34832,0
1001013053070,16.86,0.08,33.96844,-0.29467,55514.25085,0
1001013053070,16.80,0.08,33.96847,-0.29466,55514.26473,0
1001013053070,16.78,0.08,33.96847,-0.29469,55514.27171,0
1001013053070,16.84,0.08,33.96833,-0.29469,55530.20169,0
1001013053070,16.85,0.08,33.96843,-0.29459,55530.21203,0
1001013053070,16.86,0.08,33.96843,-0.29469,55530.21723,0
1001013053070,16.71,0.08,33.96858,-0.29473,55472.40779,0
1001013053070,16.83,0.08,33.96854,-0.29471,55472.42149,0
1001013053070,16.82,0.08,33.96839,-0.29468,55472.42835,0
